,주문번호ID,구매자id,판매점id,주문상태,주문일,상태변경일,취소날짜,승인날짜,결제수단,주문상품목록,주문상품갯수,총결제금액
0,00000001,20072146,1477966,1,2019-07-12 21:31:24,2019-07-12 21:31:24,NULL,NULL,1,[8809045670115],[1],24000
1,00000002,20072146,67418250,1,2019-05-01 20:34:31,2019-05-01 20:34:31,NULL,NULL,4,"[8801382131014, 8803284605464, 8809409910123]","[5, 2, 1]",51000
2,00000003,20072146,99208683,4,2019-06-18 16:43:09,2019-06-18 16:47:28,2019-06-18 16:47:28,2019-06-18 16:44:49,1,"[8806002002894, 8801056024062]","[2, 5]",61000
3,00000004,20072146,57745285,2,2018-08-12 16:23:26,2018-08-12 16:25:10,NULL,2018-08-12 16:25:10,5,"[8801382131014, 8801097130036, 8809068661077]","[1, 5, 4]",47000
4,00000005,20072146,65410918,4,2019-03-18 19:28:49,2019-03-18 19:33:30,2019-03-18 19:33:30,2019-03-18 19:31:39,5,"[8801056024062, 8802673003256, 8801097130036, 8801382130659]","[4, 5, 3, 2]",57000
5,00000006,64620186,56856462,1,2020-08-01 17:05:27,2020-08-01 17:05:27,NULL,NULL,4,"[8809409910123, 8801043650762, 8801382131014, 8801382144830]","[1, 5, 2, 4]",65000
6,00000007,64620186,47033144,2,2018-09-21 19:05:09,2018-09-21 19:07:02,NULL,2018-09-21 19:07:02,4,"[8806001083750, 8809409910123]","[4, 1]",22000
7,00000008,64620186,14372105,2,2019-08-11 12:56:31,2019-08-11 12:58:23,NULL,2019-08-11 12:58:23,2,"[8801094482602, 8809191574664, 8809332392768, 8809423620022]","[4, 2, 3, 1]",103000
8,00000009,64620186,44858354,4,2019-08-04 19:36:18,2019-08-04 19:38:44,2019-08-04 19:38:44,2019-08-04 19:37:30,1,[8801382131014],[1],22000
9,00000010,64620186,52970367,1,2019-01-19 13:16:04,2019-01-19 13:16:04,NULL,NULL,4,"[8803284605464, 8809423620046]","[1, 3]",23000
10,00000011,64620186,49616996,2,2018-03-10 19:02:41,2018-03-10 19:04:57,NULL,2018-03-10 19:04:57,4,"[8809332392768, 8809409910123, 8802673003256]","[5, 2, 1]",63000
11,00000012,64620186,74883731,2,2019-01-10 19:30:26,2019-01-10 19:32:47,NULL,2019-01-10 19:32:47,1,"[8806002002894, 8809080300039, 8806001083750, 8804342310108, 8809332392768]","[3, 2, 1, 4, 5]",105000
