,고객이름,구매물건,구매갯수,최근방문날짜
0,83402396,8809027331706,17,2020-08-15
1,83402396,8809023003379,3,2018-01-20
2,83402396,8809382930255,7,2019-04-15
3,83402396,8801056064747,6,2019-07-20
4,83402396,8807920310347,11,2019-03-16
5,8800158,8809068661176,3,2019-07-15
6,8800158,8801056224011,6,2018-08-16
7,8800158,8801094602406,4,2018-09-15
8,59713022,8806430012802,13,2020-01-21
9,59713022,8809050511144,16,2019-07-16
10,59713022,8804342398984,9,2018-08-10
11,59713022,8801056154066,4,2019-01-18
12,59713022,8802774001014,4,2018-01-15
13,59713022,8806001084894,13,2020-05-11
14,59713022,8801056034740,1,2019-06-13
15,59713022,8806002002894,10,2020-06-16
16,58320701,8801382130840,20,2018-08-17
17,58320701,8801382130826,14,2019-04-19
18,58320701,8806001083026,5,2019-04-15
19,4225617,8801382134824,5,2019-02-14
20,4225617,8801382130840,15,2019-04-12
21,4225617,8806002003030,13,2019-07-15
22,4225617,8806002010441,2,2020-05-20
23,4225617,8801056064761,8,2018-01-12
24,95383424,8801382135418,6,2018-06-10
25,95383424,8802673003249,9,2020-04-10
26,95383424,8805915531036,4,2018-08-10
27,95383424,8809397830014,19,2018-05-17
28,95383424,8801043650700,6,2020-07-10
29,95383424,8801097250383,18,2020-02-20
30,95383424,8801094502102,12,2019-03-15
31,95383424,8801094482602,2,2019-08-17
32,95383424,8801056714017,20,2019-07-13
33,95383424,8809027331317,16,2019-04-10
34,1851763,8801056298012,15,2018-03-18
35,1851763,8801037018646,4,2018-04-16
36,1851763,8801056065768,7,2018-04-11
37,1851763,8801753100885,10,2018-03-10
38,1851763,8801056030649,9,2020-08-14
39,26420237,8809382930255,18,2019-08-14
40,26420237,8801056005672,7,2018-07-21
41,26420237,8801382130659,19,2018-03-17
42,81723145,8801056001285,8,2020-03-14
43,81723145,8801097250376,5,2020-06-15
44,81723145,8809191574640,18,2020-06-10
45,81723145,8801382132455,7,2020-07-19
46,81723145,8801056233013,8,2020-04-20
47,81723145,8806002010977,9,2018-08-15
48,81723145,8801097250376,9,2018-06-14
49,81723145,8804342343434,19,2020-06-21
50,81723145,8806002010977,7,2019-05-15
51,12632964,8809068661169,5,2019-04-16
52,12632964,8801382134749,2,2018-01-10
53,12632964,8809397830007,5,2020-01-20
54,12632964,8806001083026,1,2018-05-20
55,12632964,8801097850019,20,2020-03-20
56,12632964,8801056024017,18,2019-05-20
57,12632964,8802673003218,3,2019-05-12
58,51867356,8801056013110,10,2018-09-18
59,51867356,8801056042196,15,2019-04-20
60,51867356,8801056064747,12,2020-07-19
61,51867356,88004334,2,2019-07-11
62,51867356,8809027331713,1,2020-01-12
63,51867356,8805915530633,19,2019-07-10
64,51867356,8809380760175,13,2019-05-15
65,37631863,8801056688127,4,2019-09-13
66,37631863,8801056017644,7,2019-07-17
67,37631863,8809023009340,19,2019-06-17
68,37631863,8801056389017,12,2018-05-21
69,37631863,8809409910154,4,2018-07-14
70,37631863,8801097278035,18,2020-04-11
71,37631863,8801037037852,16,2018-04-12
72,37631863,8802673003249,15,2019-09-17
73,63615149,8804342387872,17,2018-06-17
74,63615149,8806002003931,20,2018-01-18
75,63615149,8809050511083,17,2019-09-21
76,68062720,8801056005719,1,2020-04-15
77,68062720,8801094223038,17,2019-08-12
78,68062720,8809050511144,8,2020-02-19
79,68062720,8809323750065,1,2018-07-15
80,68062720,8809040935110,16,2019-06-10
81,68062720,8809027331324,13,2018-04-15
82,10600878,8801382130383,7,2018-01-16
83,10600878,8806002010977,3,2020-09-16
84,10600878,8804342387872,5,2018-06-17
85,10600878,8809057550023,8,2019-07-13
86,10600878,8801056006297,13,2020-02-18
87,10600878,8809228158881,15,2020-03-12
88,10600878,8809191574695,10,2018-09-20
89,22214428,8801056009731,11,2019-07-11
90,22214428,8801056389123,7,2020-07-11
91,22214428,8809423870007,15,2020-02-20
92,22214428,8806001083026,19,2019-03-10
93,22214428,8801056033057,4,2018-06-14
94,22214428,8801382144823,4,2018-02-10
95,22214428,8801097278035,18,2020-06-14
96,22214428,8809191574657,11,2019-01-10
97,22214428,8806001084887,13,2020-01-14
98,22214428,8809423620015,3,2020-06-11
99,59706893,8803284605532,2,2020-03-18
100,59706893,8809382930248,13,2018-05-16
101,59706893,8801097250383,18,2019-06-11
102,46467231,8801056017583,1,2018-07-21
103,46467231,8801097178021,20,2019-03-18
104,46467231,8801382139072,15,2018-09-15
105,77374823,8801056017606,9,2018-07-11
106,77374823,8809135303640,3,2018-08-10
107,71967229,8809106188092,12,2020-07-18
108,71967229,8801382137382,10,2020-01-10
109,71967229,8809125060836,5,2019-08-13
110,71967229,8809027331706,20,2020-07-12
111,71967229,8809323750010,8,2020-07-17
112,71967229,8806001083750,1,2018-02-16
113,71967229,8801382139072,7,2020-03-16
114,71967229,8801382127284,17,2018-08-19
115,1254875,8805915531036,10,2019-05-14
116,1254875,8801056034740,1,2019-09-20
117,1254875,8809040935110,7,2019-06-11
118,1254875,8809323750065,16,2018-03-12
119,1254875,8809135303640,11,2018-02-13
120,1254875,8809027331317,10,2020-03-10
121,41201491,8804074600546,5,2019-01-20
122,41201491,8801094563004,19,2018-06-19
123,41201491,8801056022112,12,2020-07-16
124,41201491,8802673003263,16,2019-02-13
125,41201491,8801382137405,14,2019-07-13
126,41201491,8801056018160,18,2019-06-14
127,41201491,8801052727837,9,2020-06-21
128,41201491,8809110700044,8,2020-03-14
129,41201491,8809173200123,8,2019-05-20
130,41201491,8809125060225,9,2019-05-14
131,40475933,8801056487010,19,2018-03-19
132,40475933,8801094473006,4,2018-05-21
133,40475933,8809397830021,6,2018-07-19
134,40475933,8809050511038,1,2020-09-12
135,40475933,8801746672443,13,2020-09-13
136,40475933,8801056224158,1,2020-05-10
137,40475933,8801056224158,17,2019-06-11
138,40475933,8809125060225,11,2019-03-21
139,22247409,8806001084894,2,2018-03-12
140,22247409,8802673003355,5,2018-04-15
141,22247409,8809423870007,16,2020-08-21
142,22247409,8809068661176,13,2018-02-12
