,고객이름,방문매장,최근방문날짜,방문횟수
0,20072146,64577473,2020-08-20,6
1,20072146,84457962,2019-05-09,5
2,20072146,49416586,2018-01-17,16
3,20072146,99208683,2019-07-03,8
4,20072146,65410918,2020-02-20,5
5,20072146,1435584,2019-05-02,13
6,20072146,60170980,2018-06-16,16
7,20072146,44858354,2019-07-01,1
8,20072146,34792150,2018-05-13,19
9,20072146,74883731,2019-01-19,6
10,20072146,84166398,2020-04-09,2
11,20072146,84166398,2020-04-16,5
12,20072146,64577473,2020-05-13,10
13,20072146,89034567,2018-04-12,3
14,64620186,34792150,2018-07-05,13
15,64620186,42985112,2020-06-16,6
16,64620186,65410918,2020-03-06,4
17,64620186,67418250,2019-06-06,11
18,465593,64577473,2019-08-13,8
19,465593,14729155,2020-02-01,17
20,465593,84457962,2019-06-18,5
21,465593,92047329,2019-02-21,3
22,465593,98446589,2020-01-21,18
23,465593,7770833,2019-06-11,11
24,465593,49616996,2018-02-06,17
25,465593,28606144,2018-01-09,12
26,465593,78189817,2018-07-20,13
27,465593,42985112,2020-06-18,5
28,27454806,89034567,2020-04-11,12
29,27454806,64577473,2020-06-08,8
30,27454806,22176965,2019-08-11,8
31,27454806,89034567,2020-02-03,5
32,27454806,57745285,2020-05-17,19
33,27454806,33463785,2019-05-07,13
34,27454806,60170980,2018-07-09,7
35,92712691,60170980,2018-04-11,16
36,92712691,9723056,2020-09-18,14
37,92712691,64577473,2020-08-09,8
38,92712691,34157209,2018-07-01,14
39,92712691,44858354,2020-08-15,12
40,92712691,84166398,2020-06-01,14
41,92712691,33463785,2018-07-05,14
42,92712691,34792150,2019-01-15,18
43,92712691,34157209,2019-02-17,6
44,92712691,57745285,2019-03-13,2
45,1457050,99388073,2020-09-13,9
46,1457050,78189817,2018-06-03,20
47,1457050,21795031,2019-02-04,8
48,1457050,58832889,2018-09-13,15
49,1457050,7770833,2020-08-14,18
50,1457050,96820813,2020-05-18,5
51,1457050,42985112,2018-04-13,2
52,1457050,54178025,2020-03-10,3
53,1457050,56856462,2018-03-19,9
54,1457050,66679999,2020-02-16,2
55,1457050,1435584,2019-05-08,8
56,1457050,76430125,2020-07-17,5
57,1457050,66679999,2019-06-08,15
58,66045735,92047329,2018-07-15,18
59,66045735,33463785,2019-06-03,16
60,66045735,78189817,2020-03-09,3
61,21775839,84457962,2018-03-02,14
62,21775839,49616996,2020-03-03,5
63,21775839,76430125,2018-01-03,1
64,21775839,14372105,2020-07-19,1
65,21775839,57745285,2018-03-07,18
66,21775839,52970367,2020-05-02,15
67,21775839,89034567,2020-09-01,11
68,21775839,61657168,2018-07-01,5
69,21775839,38968808,2018-02-06,20
70,21775839,89034567,2020-07-03,8
71,21775839,42985112,2018-01-18,16
72,21775839,47033144,2019-08-06,6
73,21775839,78189817,2018-08-11,13
74,64038681,49616996,2019-05-20,9
75,64038681,66679999,2018-02-11,18
76,64038681,99388073,2018-04-10,2
77,64038681,64577473,2020-03-20,14
78,64038681,96820813,2019-04-04,19
79,64038681,84166398,2020-02-09,1
80,64038681,36237228,2018-09-12,15
81,64038681,57745285,2018-09-11,2
82,64038681,84457962,2020-07-08,6
83,64038681,22176965,2018-09-16,17
84,64038681,33463785,2019-08-20,19
85,29463381,9723056,2019-04-10,19
86,29463381,18377790,2019-09-08,18
87,29463381,49416586,2018-05-01,4
88,29463381,78189817,2020-01-21,8
89,29463381,59830938,2019-01-10,15
90,29463381,34792150,2020-06-06,18
91,29463381,54178025,2020-02-16,8
92,29463381,9723056,2019-04-02,4
93,29463381,14372105,2019-06-04,15
94,29463381,99699361,2019-06-06,7
95,29463381,61657168,2018-09-03,18
96,29463381,7770833,2020-06-06,3
